UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Santa Catarina;Todas as Raças;Todas as situações;Casal com filhas/os;173172
Santa Catarina;Todas as Raças;Todas as situações;Todos os tipos;839456
Santa Catarina;Branca;Todas as situações;Outros Tipos;707314
Santa Catarina;Negra;Todas as situações;Outros Tipos;125880
Santa Catarina;Outras;Todas as situações;Outros Tipos;6262
Santa Catarina;Todas as Raças;Rural;Outros Tipos;85549
Santa Catarina;Todas as Raças;Urbana;Outros Tipos;753907
São Paulo;Todas as Raças;Todas as situações;Casal sem filhas/os;664191
São Paulo;Todas as Raças;Todas as situações;Unipessoal;1164204
São Paulo;Todas as Raças;Todas as situações;Casal com filhas/os;1454642
São Paulo;Todas as Raças;Todas as situações;Outros;392637
São Paulo;Todas as Raças;Todas as situações;Todos os tipos;6088612
São Paulo;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;2412938
São Paulo;Branca;Todas as situações;Outros Tipos;3613950
São Paulo;Negra;Todas as situações;Outros Tipos;2370060
São Paulo;Outras;Todas as situações;Outros Tipos;104602
São Paulo;Todas as Raças;Rural;Outros Tipos;140396
São Paulo;Todas as Raças;Urbana;Outros Tipos;5948216
Sergipe;Todas as Raças;Todas as situações;Casal sem filhas/os;28915
Sergipe;Todas as Raças;Todas as situações;Casal com filhas/os;70122
Sergipe;Todas as Raças;Todas as situações;Outros;26742
Sergipe;Todas as Raças;Todas as situações;Unipessoal;46626
Sergipe;Todas as Raças;Todas as situações;Todos os tipos;310479
Sergipe;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;138074
Sergipe;Branca;Todas as situações;Outros Tipos;74458
Sergipe;Negra;Todas as situações;Outros Tipos;233127
Sergipe;Outras;Todas as situações;Outros Tipos;2894
Sergipe;Todas as Raças;Rural;Outros Tipos;68682
Sergipe;Todas as Raças;Urbana;Outros Tipos;241797
Tocantins;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;77295
Tocantins;Todas as Raças;Todas as situações;Todos os tipos;184439
Tocantins;Todas as Raças;Todas as situações;Outros;15050
Tocantins;Todas as Raças;Todas as situações;Casal com filhas/os;45407
Tocantins;Todas as Raças;Todas as situações;Casal sem filhas/os;19903
Tocantins;Todas as Raças;Todas as situações;Unipessoal;26784
Tocantins;Branca;Todas as situações;Outros Tipos;32649
Tocantins;Negra;Todas as situações;Outros Tipos;151280
Tocantins;Outras;Todas as situações;Outros Tipos;510
Tocantins;Todas as Raças;Rural;Outros Tipos;22956
Tocantins;Todas as Raças;Urbana;Outros Tipos;161483
Todas as UFs;Todas as Raças;Todas as situações;Casal sem filhas/os;2961295
Todas as UFs;Todas as Raças;Todas as situações;Outros;2001998
Todas as UFs;Todas as Raças;Todas as situações;Unipessoal;5106255
Todas as UFs;Todas as Raças;Todas as situações;Todos os tipos;27988432
Todas as UFs;Todas as Raças;Todas as situações;Mulher sem cônjuge com filhas/os;11438230
Todas as UFs;Todas as Raças;Todas as situações;Casal com filhas/os;6480654
Todas as UFs;Branca;Todas as situações;Outros Tipos;12500228
Todas as UFs;Negra;Todas as situações;Outros Tipos;15215102
Todas as UFs;Outras;Todas as situações;Outros Tipos;273102
Todas as UFs;Todas as Raças;Rural;Outros Tipos;2505828
Todas as UFs;Todas as Raças;Urbana;Outros Tipos;25482604
