"CÓDIGO DO
IBGE";MUNICÍPIO;UF;NOME DA UNIDADE;ENDEREÇO ;RESPONSÁVEL
260960;OLINDA;PE;Centro de Referência e Atendimento á Mulher (CRM) Márcia Dangremon - Olinda   ;Rua Maria Ramos, nº 131;Municipal
261000;PALMARES;PE;"Centro de Referência Especializado de 
Atendimento à Mulher- Maria do Carmo- Palmares
";Rua Gerôncio Borba, nº 183;Municipal
261070;PAULISTA;PE;Centro de Referência da Mulher (CRM) Aqualtune - Paulista;Rua Santa Teresa, nº 384;Municipal
261110;PETROLINA;PE;Centro de Referência de Atendimento à Mulher (CRAM) - Valdete Cezar - Petrolina;Avenida Projetada, s/nº;Municipal
261160;RECIFE;PE;Centro de Referência e Atenção as Mulheres em Situação de Violência Doméstica e Sexista (CRAM) - Clarice Lispector- Recife;Rua Bernardo Guimarães, nº 470;Municipal
261180;RIBEIRÃO;PE;Centro de Referência de Atendimento à Mulher (CRAM) Isabel Oliveira Cravo - Ribeirão;Avenida Mário Domingues, nº 1735;Municipal
261250;SANTA CRUZ DO CAPIBARIBE;PE;Centro de Referência de Atendimento à Mulher (CRAM) - Casa Josefa Mendes de Barros - Santa Cruz do Capibaribe;Avenida José Morais da Silva, nº 230;Municipal
261390;SERRA TALHADA;PE;Centro de Referência de Atendimento à Mulher em Situação de Violência (CRAM) Francisquinha Godoy - Serra Talhada;Rua José Joaquim de Lima, nº 250;Municipal
221100;TERESINA;PI;Centro de Referência de Atendimento à Mulher (CRAM) Francisca Trindade - Teresina ;Rua Gabriel Ferreira, nº 155 ;Estado
410140;APUCARANA;PR;Centro de Atendimento a Mulher (CAM) - Apucarana ;Rua Ouro Verde nº 300;Municipal
410430;CAMPO MOURÃO;PR;Centro de Referência de Atendimento à Mulher Anita Albuquerque - Campo Mourão;Rua Alberto Spilka, n° 104;Municipal
410690;CURITIBA;PR;Centro de Referência de Atendimento à Mulher em Situação de Violência Doméstica (CRAM) - Curitiba;Rua do Rosário, nº 144 - 8º andar;Estadual
410830;FOZ DO IGUAÇU;PR;Centro de Referência de Atendimento à Mulher Vítima de Violência Rejane Marisa Dal Bo (CRAM) - Foz do Iguaçu;"Rua Padre Bernardo Plate, nº 1250. Complemento: paralela à Avenida Paraná; Referência: Em frente a 6ª subdivisão da Polícia Civil.";Municipal
411370;LONDRINA;PR;Centro de Referencia de Atendimento à Mulher (CAM) - Londrina;Avenida Carlos Gomes, nº 145;Municipal
411370;LONDRINA;PR;Núcleo Maria da Penha (NUMAPE) - Resgate da Dignidade da Mulher na Violência Doméstica e Familiar - Londrina;Rua Brasil, n° 742;Estadual
411520;MARINGÁ;PR;Centro de Referência de Atendimento à Mulher Maria Mariá - Maringá;Rua Papa João XXIII, nº 497;Municipal
