UF;Raça/Cor;Situação do Domicílio;Tipo de família;Famílias
Santa Catarina;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;293518
Santa Catarina;Todas as raças;Todos as situações;Casal sem filhas/os;118924
Santa Catarina;Todas as raças;Todos as situações;Outros;43811
Santa Catarina;Todas as raças;Todos as situações;Unipessoal;210031
Santa Catarina;Todas as raças;Todos as situações;Casal com filhas/os;173172
Santa Catarina;Todas as raças;Todos as situações;Todos os tipos;839456
São Paulo;Branca;Todos as situações;Outros tipos;3613950
São Paulo;Negra;Todos as situações;Outros tipos;2370060
São Paulo;Outras;Todos as situações;Outros tipos;104602
São Paulo;Todas as raças;Rural;Outros tipos;2461696
São Paulo;Todas as raças;Urbana;Outros tipos;3626916
São Paulo;Todas as raças;Todos as situações;Casal sem filhas/os;664191
São Paulo;Todas as raças;Todos as situações;Unipessoal;1164204
São Paulo;Todas as raças;Todos as situações;Casal com filhas/os;1454642
São Paulo;Todas as raças;Todos as situações;Outros;392637
São Paulo;Todas as raças;Todos as situações;Todos os tipos;6088612
São Paulo;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;2412938
Sergipe;Branca;Todos as situações;Outros tipos;74458
Sergipe;Negra;Todos as situações;Outros tipos;233127
Sergipe;Outras;Todos as situações;Outros tipos;2894
Sergipe;Todas as raças;Rural;Outros tipos;234936
Sergipe;Todas as raças;Urbana;Outros tipos;75543
Sergipe;Todas as raças;Todos as situações;Casal sem filhas/os;28915
Sergipe;Todas as raças;Todos as situações;Casal com filhas/os;70122
Sergipe;Todas as raças;Todos as situações;Outros;26742
Sergipe;Todas as raças;Todos as situações;Unipessoal;46626
Sergipe;Todas as raças;Todos as situações;Todos os tipos;310479
Sergipe;Todas as raças;Todos as situações;Mulher sem cônjuge com filhas/os;138074
Tocantins;Branca;Todos as situações;Outros tipos;32649
Tocantins;Negra;Todos as situações;Outros tipos;151280
Tocantins;Outras;Todos as situações;Outros tipos;510
Tocantins;Todas as raças;Rural;Outros tipos;151280
